Month,Channel,Region,Product Line,Impressions,Clicks,Leads,MQLs,SQLs,Opportunities,Wins,Spend,Pipeline Value,Attributed Revenue
2026-01-01,LinkedIn,Midwest,Cartoning Machines,12600,267,21,13,7,4,1,2499,411185,131790
2026-01-01,LinkedIn,Midwest,Labeling Systems,13875,261,20,13,7,4,1,2443,143021,45840
2026-01-01,LinkedIn,Midwest,Case Packers,13500,275,22,14,8,5,1,2574,417144,106960
2026-01-01,LinkedIn,South,Pouch Fillers,13800,248,19,11,6,3,1,2357,188042,80360
2026-01-01,LinkedIn,South,Cartoning Machines,13425,263,21,13,8,4,1,2500,421949,135240
2026-01-01,LinkedIn,South,Labeling Systems,14700,312,24,15,9,5,1,2965,183456,47040
2026-01-01,LinkedIn,South,Case Packers,14325,269,22,14,8,5,1,2557,428064,109760
2026-01-01,LinkedIn,West,Pouch Fillers,14625,298,23,13,8,4,1,2875,257119,82410
2026-01-01,LinkedIn,West,Cartoning Machines,14250,257,21,13,8,4,1,2480,432713,138690
2026-01-01,LinkedIn,West,Labeling Systems,15525,304,24,15,9,5,1,2933,188136,48240
2026-01-01,LinkedIn,West,Case Packers,15150,321,26,17,10,6,1,3097,526781,112560
2026-01-01,Email,Northeast,Pouch Fillers,7020,371,35,20,11,5,1,677,297414,76260
2026-01-01,Email,Northeast,Cartoning Machines,7785,424,40,24,13,7,1,773,700736,128340
2026-01-01,Email,Northeast,Labeling Systems,7560,393,37,23,13,7,1,717,243734,44640
2026-01-01,Email,Northeast,Case Packers,8325,446,42,28,15,8,2,814,649958,208320
2026-01-01,Email,Midwest,Pouch Fillers,7515,415,39,23,13,6,1,769,366491,78310
2026-01-01,Email,Midwest,Cartoning Machines,8280,437,42,25,14,7,2,810,719573,263580
2026-01-01,Email,Midwest,Labeling Systems,8055,438,41,26,15,8,2,811,286042,91680
2026-01-01,Email,Midwest,Case Packers,8820,459,44,29,17,10,2,850,834288,213920
2026-01-01,Email,South,Pouch Fillers,8010,429,40,23,14,7,2,807,438766,160720
2026-01-01,Email,South,Cartoning Machines,8775,484,46,28,17,9,2,910,949385,270480
2026-01-01,Email,South,Labeling Systems,8550,451,42,26,15,8,2,848,293530,94080
2026-01-01,Email,South,Case Packers,8325,453,43,28,17,10,2,852,856128,219520
2026-01-01,Email,West,Pouch Fillers,8505,442,41,24,15,7,2,844,449959,164820
2026-01-01,Email,West,Cartoning Machines,8280,444,42,25,15,8,2,848,865426,277380
2026-01-01,Email,West,Labeling Systems,9045,499,46,29,18,10,2,953,376272,96480
2026-01-01,Email,West,Case Packers,8820,466,44,29,18,10,2,890,877968,225120
2026-01-01,Trade Media,Northeast,Pouch Fillers,9460,155,9,5,3,1,0,1101,59483,0
2026-01-01,Trade Media,Northeast,Cartoning Machines,9185,129,7,4,2,1,0,916,100105,0
2026-01-01,Trade Media,Northeast,Labeling Systems,10120,158,9,6,3,2,0,1122,69638,0
2026-01-01,Trade Media,Northeast,Case Packers,9845,169,10,7,4,2,0,1201,162490,0
2026-01-01,Trade Media,Midwest,Pouch Fillers,10065,149,8,5,3,1,0,1075,61082,0
2026-01-01,Trade Media,Midwest,Cartoning Machines,9790,161,9,5,3,2,0,1162,205592,0
2026-01-01,Trade Media,Midwest,Labeling Systems,9515,133,7,4,2,1,0,960,35755,0
2026-01-01,Trade Media,Midwest,Case Packers,10450,163,9,6,3,2,0,1176,166858,0
2026-01-01,Trade Media,South,Pouch Fillers,9460,163,9,5,3,1,0,1194,62681,0
2026-01-01,Trade Media,South,Cartoning Machines,10395,154,9,5,3,2,0,1128,210974,0
2026-01-01,Trade Media,South,Labeling Systems,10120,166,9,6,4,2,0,1216,73382,0
2026-01-01,Trade Media,South,Case Packers,11055,155,9,6,4,2,0,1136,171226,0
2026-01-01,Trade Media,West,Pouch Fillers,10065,157,9,5,3,1,0,1168,64280,0
2026-01-01,Trade Media,West,Cartoning Machines,11000,189,11,7,4,2,0,1406,216356,0
2026-01-01,Trade Media,West,Labeling Systems,10725,159,9,6,4,2,0,1182,75254,0
2026-01-01,Trade Media,West,Case Packers,11660,191,11,7,4,2,0,1420,175594,0
2026-01-01,Retargeting,Northeast,Pouch Fillers,14940,403,29,17,9,4,1,1857,237931,76260
2026-01-01,Retargeting,Northeast,Cartoning Machines,14490,414,30,18,10,5,1,1908,500526,128340
2026-01-01,Retargeting,Northeast,Labeling Systems,16020,484,34,21,12,6,1,2230,208915,44640
2026-01-01,Retargeting,Northeast,Case Packers,15570,433,32,21,12,7,1,1995,568714,104160
2026-01-01,Retargeting,Midwest,Pouch Fillers,15930,468,33,19,11,5,1,2190,305409,78310
2026-01-01,Retargeting,Midwest,Cartoning Machines,15480,418,31,19,11,6,1,1956,616777,131790
2026-01-01,Retargeting,Midwest,Labeling Systems,17010,486,35,22,13,7,2,2274,250286,91680
2026-01-01,Retargeting,Midwest,Case Packers,16560,500,37,24,14,8,2,2340,667430,213920
2026-01-01,Retargeting,South,Pouch Fillers,16920,470,33,19,11,5,1,2233,313404,80360
2026-01-01,Retargeting,South,Cartoning Machines,16470,484,35,21,12,6,1,2300,632923,135240
2026-01-01,Retargeting,South,Labeling Systems,18000,486,35,22,13,7,2,2309,256838,94080
2026-01-01,Retargeting,South,Case Packers,17550,502,37,24,14,8,2,2386,684902,219520
2026-01-01,Retargeting,West,Pouch Fillers,15930,481,34,20,12,6,1,2320,385679,82410
2026-01-01,Retargeting,West,Cartoning Machines,17460,485,35,21,13,7,2,2340,757247,277380
2026-01-01,Retargeting,West,Labeling Systems,17010,500,36,23,14,8,2,2412,301018,96480
2026-01-01,Retargeting,West,Case Packers,18540,501,37,24,15,8,2,2417,702374,225120
2026-02-01,Google Search,Northeast,Pouch Fillers,20640,807,52,31,17,8,2,5378,488064,152520
2026-02-01,Google Search,Northeast,Cartoning Machines,22680,923,61,38,21,11,3,6151,1129392,385020
2026-02-01,Google Search,Northeast,Labeling Systems,22080,846,54,35,19,10,2,5638,357120,89280
2026-02-01,Google Search,Northeast,Case Packers,24120,962,63,42,23,13,3,6411,1083264,312480
2026-02-01,Google Search,Midwest,Pouch Fillers,21960,824,53,31,18,9,2,5575,563832,156620
2026-02-01,Google Search,Midwest,Cartoning Machines,24000,938,62,38,22,11,3,6347,1159752,395370
2026-02-01,Google Search,Midwest,Labeling Systems,23400,952,61,39,22,12,3,6441,440064,137520
2026-02-01,Google Search,Midwest,Case Packers,22800,873,58,39,22,12,3,5907,1026816,320880
2026-02-01,Google Search,South,Pouch Fillers,23280,929,59,35,21,10,3,6380,642880,241080
2026-02-01,Google Search,South,Cartoning Machines,22680,851,56,34,20,10,3,5845,1081920,405720
2026-02-01,Google Search,South,Labeling Systems,24720,967,62,40,24,13,3,6641,489216,141120
2026-02-01,Google Search,South,Case Packers,24120,982,65,43,25,14,4,6744,1229312,439040
2026-02-01,Google Search,West,Pouch Fillers,24600,942,60,35,21,10,3,6566,659280,247230
2026-02-01,Google Search,West,Cartoning Machines,24000,958,63,39,24,12,3,6677,1331424,416070
2026-02-01,Google Search,West,Labeling Systems,26040,977,63,40,24,13,4,6810,501696,192960
2026-02-01,Google Search,West,Case Packers,25440,995,66,44,27,15,4,6935,1350720,450240
2026-02-01,LinkedIn,Northeast,Pouch Fillers,14100,320,26,15,8,4,1,3011,244032,76260
2026-02-01,LinkedIn,Northeast,Cartoning Machines,13725,279,23,14,8,4,1,2625,410688,128340
2026-02-01,LinkedIn,Northeast,Labeling Systems,13350,292,24,15,8,4,1,2747,142848,44640
2026-02-01,LinkedIn,Northeast,Case Packers,14625,285,24,16,9,5,1,2681,416640,104160
2026-02-01,LinkedIn,Midwest,Pouch Fillers,13275,280,23,14,8,4,1,2675,250592,78310
2026-02-01,LinkedIn,Midwest,Cartoning Machines,14550,330,27,17,10,5,1,3152,527160,131790
2026-02-01,LinkedIn,Midwest,Labeling Systems,14175,288,23,15,9,5,1,2751,183360,45840
2026-02-01,LinkedIn,Midwest,Case Packers,15450,338,28,19,11,6,1,3229,513408,106960
2026-02-01,LinkedIn,South,Pouch Fillers,14100,275,22,13,8,4,1,2666,257152,80360
2026-02-01,LinkedIn,South,Cartoning Machines,15375,324,27,17,10,5,1,3142,540960,135240
2026-02-01,LinkedIn,South,Labeling Systems,15000,341,28,18,11,6,2,3306,225792,94080
2026-02-01,LinkedIn,South,Case Packers,16275,330,27,18,11,6,2,3200,526848,219520
2026-02-01,LinkedIn,West,Pouch Fillers,14925,327,26,15,9,4,1,3218,263712,82410
2026-02-01,LinkedIn,West,Cartoning Machines,14550,284,24,15,9,5,1,2795,554760,138690
2026-02-01,LinkedIn,West,Labeling Systems,15825,334,27,17,10,5,1,3287,192960,48240
2026-02-01,LinkedIn,West,Case Packers,15450,351,29,19,12,7,2,3454,630336,225120
2026-02-01,Email,Northeast,Pouch Fillers,8190,445,43,25,14,7,2,829,427056,152520
2026-02-01,Email,Northeast,Cartoning Machines,7965,445,44,27,15,8,2,829,821376,256680
2026-02-01,Email,Northeast,Labeling Systems,8730,467,45,29,16,9,2,870,321408,89280
2026-02-01,Email,Northeast,Case Packers,8505,469,46,31,17,10,2,873,833280,208320
2026-02-01,Email,Midwest,Pouch Fillers,8685,492,47,28,16,8,2,930,501184,156620
2026-02-01,Email,Midwest,Cartoning Machines,8460,459,45,28,16,8,2,868,843456,263580
2026-02-01,Email,Midwest,Labeling Systems,9225,516,50,32,18,10,2,975,366720,91680
2026-02-01,Email,Midwest,Case Packers,9000,482,47,31,18,10,2,911,855680,213920
2026-02-01,Email,South,Pouch Fillers,8190,451,43,25,15,7,2,865,450016,160720
2026-02-01,Email,South,Cartoning Machines,8955,508,50,31,18,9,2,975,973728,270480
2026-02-01,Email,South,Labeling Systems,8730,474,46,29,17,9,2,910,338688,94080
2026-02-01,Email,South,Case Packers,9495,531,52,35,21,12,3,1019,1053696,329280
2026-02-01,Email,West,Pouch Fillers,8685,465,45,27,16,8,2,906,527424,164820
2026-02-01,Email,West,Cartoning Machines,9450,521,51,31,19,10,3,1015,1109520,416070
2026-02-01,Email,West,Labeling Systems,9225,523,50,32,20,11,3,1019,424512,144720
2026-02-01,Email,West,Case Packers,9990,542,53,35,21,12,3,1056,1080576,337680
2026-02-01,Trade Media,Northeast,Pouch Fillers,9680,173,10,6,3,1,0,1255,61008,0
2026-02-01,Trade Media,Northeast,Cartoning Machines,10615,165,10,6,3,2,0,1197,205344,0
2026-02-01,Trade Media,Northeast,Labeling Systems,10340,177,10,6,3,2,0,1284,71424,0
2026-02-01,Trade Media,Northeast,Case Packers,10065,188,11,7,4,2,0,1363,166656,0
2026-02-01,Trade Media,Midwest,Pouch Fillers,10285,168,10,6,3,1,0,1237,62648,0
2026-02-01,Trade Media,Midwest,Cartoning Machines,10010,179,11,7,4,2,0,1318,210864,0
2026-02-01,Trade Media,Midwest,Labeling Systems,10945,170,10,6,3,2,0,1252,73344,0
2026-02-01,Trade Media,Midwest,Case Packers,10670,182,11,7,4,2,0,1340,171136,0
2026-02-01,Trade Media,South,Pouch Fillers,10890,204,12,7,4,2,1,1525,128576,80360
2026-02-01,Trade Media,South,Cartoning Machines,10615,173,10,6,4,2,1,1293,216384,135240
2026-02-01,Trade Media,South,Labeling Systems,11550,207,12,8,5,3,1,1547,112896,47040
2026-02-01,Trade Media,South,Case Packers,11275,175,11,7,4,2,1,1308,175616,109760
2026-02-01,Trade Media,West,Pouch Fillers,11495,197,11,6,4,2,1,1494,131856,82410
2026-02-01,Trade Media,West,Cartoning Machines,11220,210,13,8,5,3,1,1593,332856,138690
2026-02-01,Trade Media,West,Labeling Systems,10945,178,10,6,4,2,1,1350,77184,48240
2026-02-01,Trade Media,West,Case Packers,11880,213,13,9,5,3,1,1616,270144,112560
2026-02-01,Retargeting,Northeast,Pouch Fillers,15300,436,32,19,10,5,1,2051,305040,76260
2026-02-01,Retargeting,Northeast,Cartoning Machines,16830,507,39,24,13,7,2,2385,718704,256680
2026-02-01,Retargeting,Northeast,Labeling Systems,16380,519,38,24,13,7,2,2441,249984,89280
2026-02-01,Retargeting,Northeast,Case Packers,17910,525,40,27,15,8,2,2470,666624,208320
2026-02-01,Retargeting,Midwest,Pouch Fillers,16290,503,37,22,13,6,1,2402,375888,78310
2026-02-01,Retargeting,Midwest,Cartoning Machines,17820,508,39,24,14,7,2,2426,738024,263580
2026-02-01,Retargeting,Midwest,Labeling Systems,17370,523,39,25,14,8,2,2498,293376,91680
2026-02-01,Retargeting,Midwest,Case Packers,18900,599,46,31,18,10,2,2861,855680,213920
2026-02-01,Retargeting,South,Pouch Fillers,17280,506,37,22,13,6,2,2453,385728,160720
2026-02-01,Retargeting,South,Cartoning Machines,16830,520,40,25,15,8,2,2521,865536,270480
2026-02-01,Retargeting,South,Labeling Systems,18360,523,39,25,15,8,2,2536,301056,94080
2026-02-01,Retargeting,South,Case Packers,17910,539,41,27,16,9,2,2613,790272,219520
2026-02-01,Retargeting,West,Pouch Fillers,18270,579,43,25,15,7,2,2849,461496,164820
2026-02-01,Retargeting,West,Cartoning Machines,17820,522,40,25,15,8,2,2568,887616,277380
2026-02-01,Retargeting,West,Labeling Systems,19350,598,44,28,17,9,2,2942,347328,96480
2026-02-01,Retargeting,West,Case Packers,18900,539,41,27,16,9,2,2652,810432,225120
2026-03-01,Google Search,Northeast,Pouch Fillers,23760,965,65,39,21,10,3,6562,625332,228780
2026-03-01,Google Search,Northeast,Cartoning Machines,23160,977,67,42,23,12,3,6644,1262866,385020
2026-03-01,Google Search,Northeast,Labeling Systems,25200,1003,67,44,24,13,3,6820,475862,133920
2026-03-01,Google Search,Northeast,Case Packers,24600,1018,70,47,26,15,4,6922,1281168,416640
2026-03-01,Google Search,Midwest,Pouch Fillers,22440,875,59,35,20,10,3,6039,642142,234930
2026-03-01,Google Search,Midwest,Cartoning Machines,24480,994,69,43,25,13,4,6861,1404881,527160
2026-03-01,Google Search,Midwest,Labeling Systems,23880,1008,68,44,25,14,4,6957,526243,183360
2026-03-01,Google Search,Midwest,Case Packers,25920,1032,71,48,27,15,4,7123,1315608,427840
2026-03-01,Google Search,South,Pouch Fillers,23760,984,66,40,24,12,3,6892,790742,241080
2026-03-01,Google Search,South,Cartoning Machines,25800,1006,69,43,25,13,4,7046,1441658,540960
2026-03-01,Google Search,South,Labeling Systems,25200,1023,69,45,27,15,4,7165,578592,188160
2026-03-01,Google Search,South,Case Packers,27240,1150,79,53,31,18,5,8055,1620058,548800
2026-03-01,Google Search,West,Pouch Fillers,25080,998,67,40,24,12,4,7092,810914,329640
2026-03-01,Google Search,West,Cartoning Machines,27120,1123,77,48,29,15,4,7980,1705887,554760
2026-03-01,Google Search,West,Labeling Systems,26520,1034,69,45,27,15,4,7348,593352,192960
2026-03-01,Google Search,West,Case Packers,25920,1052,73,49,30,17,5,7476,1569086,562800
2026-03-01,LinkedIn,Northeast,Pouch Fillers,14400,348,29,17,9,4,1,3341,250133,76260
2026-03-01,LinkedIn,Northeast,Cartoning Machines,14025,306,26,16,9,5,1,2938,526194,128340
2026-03-01,LinkedIn,Northeast,Labeling Systems,15300,358,30,20,11,6,2,3437,219629,89280
2026-03-01,LinkedIn,Northeast,Case Packers,14925,313,27,18,10,6,2,3005,512467,208320
2026-03-01,LinkedIn,Midwest,Pouch Fillers,15225,344,29,17,10,5,1,3352,321071,78310
2026-03-01,LinkedIn,Midwest,Cartoning Machines,14850,359,31,19,11,6,2,3498,648407,263580
2026-03-01,LinkedIn,Midwest,Labeling Systems,16125,352,30,20,11,6,2,3430,225533,91680
2026-03-01,LinkedIn,Midwest,Case Packers,15750,369,32,22,13,7,2,3596,613950,213920
2026-03-01,LinkedIn,South,Pouch Fillers,16050,337,28,17,10,5,1,3332,329476,80360
2026-03-01,LinkedIn,South,Cartoning Machines,15675,354,30,19,11,6,2,3500,665381,270480
2026-03-01,LinkedIn,South,Labeling Systems,15300,370,31,20,12,6,2,3659,231437,94080
2026-03-01,LinkedIn,South,Case Packers,16575,361,31,21,12,7,2,3570,630022,219520
2026-03-01,LinkedIn,West,Pouch Fillers,15225,356,30,18,11,5,1,3571,337881,82410
2026-03-01,LinkedIn,West,Cartoning Machines,16500,346,30,19,12,6,2,3471,682355,277380
2026-03-01,LinkedIn,West,Labeling Systems,16125,364,31,20,12,6,2,3652,237341,96480
2026-03-01,LinkedIn,West,Case Packers,17400,421,36,24,15,8,2,4223,738394,225120
2026-03-01,Email,Northeast,Pouch Fillers,8370,467,46,28,15,7,2,887,437732,152520
2026-03-01,Email,Northeast,Cartoning Machines,9135,524,53,33,18,9,2,996,947149,256680
2026-03-01,Email,Northeast,Labeling Systems,8910,490,49,32,18,10,3,931,366048,133920
2026-03-01,Email,Northeast,Case Packers,9675,548,55,37,20,11,3,1041,939523,312480
2026-03-01,Email,Midwest,Pouch Fillers,8865,516,51,31,18,9,2,995,577928,156620
2026-03-01,Email,Midwest,Cartoning Machines,8640,482,49,31,18,9,2,930,972610,263580
2026-03-01,Email,Midwest,Labeling Systems,9405,540,53,34,19,10,3,1041,375888,137520
2026-03-01,Email,Midwest,Case Packers,9180,505,51,34,19,11,3,974,964779,320880
2026-03-01,Email,South,Pouch Fillers,9360,530,52,31,18,9,3,1037,593057,241080
2026-03-01,Email,South,Cartoning Machines,9135,532,54,34,20,10,3,1041,1108968,405720
2026-03-01,Email,South,Labeling Systems,9900,552,55,36,21,11,3,1080,424301,141120
2026-03-01,Email,South,Case Packers,9675,555,56,38,22,12,3,1086,1080038,329280
2026-03-01,Email,West,Pouch Fillers,9855,542,54,32,20,10,3,1076,675762,247230
2026-03-01,Email,West,Cartoning Machines,9630,545,55,34,21,11,3,1082,1250984,416070
2026-03-01,Email,West,Labeling Systems,10395,605,60,39,24,13,4,1201,514238,192960
2026-03-01,Email,West,Case Packers,10170,567,57,38,23,13,4,1126,1199890,450240
2026-03-01,Trade Media,Northeast,Pouch Fillers,9900,192,12,7,4,2,1,1421,125066,76260
2026-03-01,Trade Media,Northeast,Cartoning Machines,10835,184,12,8,4,2,1,1362,210478,128340
2026-03-01,Trade Media,Northeast,Labeling Systems,10560,196,12,8,4,2,1,1450,73210,44640
2026-03-01,Trade Media,Northeast,Case Packers,11495,232,15,10,6,3,1,1717,256234,104160
2026-03-01,Trade Media,Midwest,Pouch Fillers,10505,187,11,7,4,2,1,1405,128428,78310
2026-03-01,Trade Media,Midwest,Cartoning Machines,11440,222,14,9,5,3,1,1667,324203,131790
2026-03-01,Trade Media,Midwest,Labeling Systems,11165,190,12,8,5,3,1,1427,112766,45840
2026-03-01,Trade Media,Midwest,Case Packers,12100,225,14,9,5,3,1,1690,263122,106960
2026-03-01,Trade Media,South,Pouch Fillers,11110,224,14,8,5,2,1,1707,131790,80360
2026-03-01,Trade Media,South,Cartoning Machines,12045,214,13,8,5,3,1,1631,332690,135240
2026-03-01,Trade Media,South,Labeling Systems,11770,228,14,9,5,3,1,1738,115718,47040
2026-03-01,Trade Media,South,Case Packers,11495,195,12,8,5,3,1,1486,270010,109760
2026-03-01,Trade Media,West,Pouch Fillers,11715,218,13,8,5,2,1,1686,135152,82410
2026-03-01,Trade Media,West,Cartoning Machines,11440,231,15,9,5,3,1,1786,341177,138690
2026-03-01,Trade Media,West,Labeling Systems,12375,220,13,8,5,3,1,1701,118670,48240
2026-03-01,Trade Media,West,Case Packers,12100,235,15,10,6,3,1,1817,276898,112560
2026-03-01,Retargeting,Northeast,Pouch Fillers,17640,529,41,25,14,7,2,2539,437732,152520
2026-03-01,Retargeting,Northeast,Cartoning Machines,17190,543,43,27,15,8,2,2606,841910,256680
2026-03-01,Retargeting,Northeast,Labeling Systems,18720,622,48,31,17,9,2,2986,329443,89280
2026-03-01,Retargeting,Northeast,Case Packers,18270,563,44,30,17,10,3,2702,854112,312480
2026-03-01,Retargeting,Midwest,Pouch Fillers,18630,604,47,28,16,8,2,2943,513714,156620
2026-03-01,Retargeting,Midwest,Cartoning Machines,18180,545,43,27,15,8,2,2655,864542,263580
2026-03-01,Retargeting,Midwest,Labeling Systems,17730,560,43,28,16,9,2,2728,338299,91680
2026-03-01,Retargeting,Midwest,Case Packers,19260,639,50,34,19,11,3,3113,964779,320880
2026-03-01,Retargeting,South,Pouch Fillers,17640,543,42,25,15,7,2,2685,461266,160720
2026-03-01,Retargeting,South,Cartoning Machines,19170,621,49,31,18,9,3,3070,998071,405720
2026-03-01,Retargeting,South,Labeling Systems,18720,562,43,28,17,9,3,2779,347155,141120
2026-03-01,Retargeting,South,Case Packers,20250,640,51,34,20,11,3,3164,990035,329280
2026-03-01,Retargeting,West,Pouch Fillers,18630,619,48,29,18,9,3,3105,608186,247230
2026-03-01,Retargeting,West,Cartoning Machines,20160,621,49,31,19,10,3,3115,1137258,416070
2026-03-01,Retargeting,West,Labeling Systems,19710,639,49,32,20,11,3,3205,435125,144720
2026-03-01,Retargeting,West,Case Packers,21240,637,50,34,21,12,4,3195,1107590,450240
2026-04-01,Google Search,Northeast,Pouch Fillers,24240,1021,71,43,24,12,3,7082,768701,228780
2026-04-01,Google Search,Northeast,Cartoning Machines,23640,1033,74,47,26,13,4,7165,1401473,513360
2026-04-01,Google Search,Northeast,Labeling Systems,25680,1061,74,49,27,15,4,7359,562464,178560
2026-04-01,Google Search,Northeast,Case Packers,25080,1076,77,53,29,16,5,7463,1399910,520800
2026-04-01,Google Search,Midwest,Pouch Fillers,25560,1035,72,44,25,12,4,7284,789365,313240
2026-04-01,Google Search,Midwest,Cartoning Machines,24960,1051,76,48,27,14,4,7397,1549850,527160
2026-04-01,Google Search,Midwest,Labeling Systems,27000,1180,83,55,31,17,5,8305,654595,229200
2026-04-01,Google Search,Midwest,Case Packers,26400,1090,78,53,30,17,5,7671,1527389,534800
2026-04-01,Google Search,South,Pouch Fillers,26880,1153,81,49,29,14,4,8232,945034,321440
2026-04-01,Google Search,South,Cartoning Machines,26280,1064,77,49,29,15,5,7597,1704024,676200
2026-04-01,Google Search,South,Labeling Systems,28320,1192,83,55,32,17,5,8511,671731,235200
2026-04-01,Google Search,South,Case Packers,27720,1211,87,60,35,20,6,8647,1843968,658560
2026-04-01,Google Search,West,Pouch Fillers,25560,1056,74,45,27,13,4,7648,899917,329640
2026-04-01,Google Search,West,Cartoning Machines,27600,1184,85,54,33,17,5,8575,1980493,693450
2026-04-01,Google Search,West,Labeling Systems,27000,1093,77,51,31,17,5,7916,688867,241200
2026-04-01,Google Search,West,Case Packers,29040,1223,88,60,37,21,7,8857,1985558,787920
2026-04-01,LinkedIn,Northeast,Pouch Fillers,14700,378,33,20,11,5,1,3701,320292,76260
2026-04-01,LinkedIn,Northeast,Cartoning Machines,15975,372,33,21,12,6,2,3643,646834,256680
2026-04-01,LinkedIn,Northeast,Labeling Systems,15600,388,34,22,12,6,2,3799,224986,89280
2026-04-01,LinkedIn,Northeast,Case Packers,16875,380,34,23,13,7,2,3721,612461,208320
2026-04-01,LinkedIn,Midwest,Pouch Fillers,15525,374,33,20,11,5,1,3716,328902,78310
2026-04-01,LinkedIn,Midwest,Cartoning Machines,16800,432,38,24,14,7,2,4292,774925,263580
2026-04-01,LinkedIn,Midwest,Labeling Systems,16425,383,33,22,13,7,2,3805,269539,91680
2026-04-01,LinkedIn,Midwest,Case Packers,16050,400,36,25,14,8,2,3974,718771,213920
2026-04-01,LinkedIn,South,Pouch Fillers,16350,368,32,20,12,6,2,3709,405014,160720
2026-04-01,LinkedIn,South,Cartoning Machines,15975,385,34,22,13,7,2,3881,795211,270480
2026-04-01,LinkedIn,South,Labeling Systems,17250,443,39,26,15,8,2,4465,316109,94080
2026-04-01,LinkedIn,South,Case Packers,16875,393,35,24,14,8,2,3961,737587,219520
2026-04-01,LinkedIn,West,Pouch Fillers,17175,428,37,23,14,7,2,4376,484571,164820
2026-04-01,LinkedIn,West,Cartoning Machines,16800,378,34,22,13,7,2,3865,815497,277380
2026-04-01,LinkedIn,West,Labeling Systems,18075,436,38,25,15,8,3,4458,324173,144720
2026-04-01,LinkedIn,West,Case Packers,17700,455,40,27,16,9,3,4652,850954,337680
2026-04-01,Email,Northeast,Pouch Fillers,9540,547,56,34,19,9,3,1060,576526,228780
2026-04-01,Email,Northeast,Cartoning Machines,9315,549,57,36,20,10,3,1064,1078056,385020
2026-04-01,Email,Northeast,Labeling Systems,9090,514,52,34,19,10,3,996,374976,133920
2026-04-01,Email,Northeast,Case Packers,9855,573,60,41,23,13,4,1110,1137427,416640
2026-04-01,Email,Midwest,Pouch Fillers,9045,540,55,34,19,9,3,1062,592024,234930
2026-04-01,Email,Midwest,Cartoning Machines,9810,562,58,37,21,11,3,1105,1217740,395370
2026-04-01,Email,Midwest,Labeling Systems,9585,565,58,38,22,12,4,1111,462067,183360
2026-04-01,Email,Midwest,Case Packers,10350,585,61,42,24,14,4,1150,1257850,427840
2026-04-01,Email,South,Pouch Fillers,9540,554,57,35,21,10,3,1105,675024,241080
2026-04-01,Email,South,Cartoning Machines,10305,615,64,41,24,12,4,1227,1363219,540960
2026-04-01,Email,South,Labeling Systems,10080,578,59,39,23,12,4,1153,474163,188160
2026-04-01,Email,South,Case Packers,10845,639,66,45,27,15,5,1275,1382976,548800
2026-04-01,Email,West,Pouch Fillers,10035,567,58,35,21,10,3,1147,692244,247230
2026-04-01,Email,West,Cartoning Machines,9810,570,59,37,23,12,4,1153,1397995,554760
2026-04-01,Email,West,Labeling Systems,10575,631,64,42,26,14,4,1277,567302,192960
2026-04-01,Email,West,Case Packers,10350,593,62,42,26,15,5,1200,1418256,562800
2026-04-01,Trade Media,Northeast,Pouch Fillers,11330,237,15,9,5,2,1,1789,128117,76260
